Municipality,Population,Surface_km2,Latitude,Longitude
Tissi,2359.0,10.24,40.677673,8.5626999
Tonara,1806.0,52.02,40.0251345,9.173144
Torpè,2698.0,91.5,40.627969,9.677337
Torralba,902.0,36.5,40.512959,8.76532
Tortolì,10986.0,40.29,39.9266045,9.6591551
Tramatza,936.0,16.8,40.0037483,8.6495366
Tratalias,993.0,31.0,39.1035305,8.5789604
Tresnuraghes,1111.0,31.58,40.2521042,8.5199603
Triei,1047.0,32.98,40.0371271,9.6405028
Trinità d'Agultu e Vignola,2210.0,134.0,40.983769,8.915616
Tuili,946.0,24.59,39.7139877,8.9603418
Tula,1462.0,66.19,40.732465,8.983921
Turri,391.0,9.6,39.704845,8.916534
Ulassai,1369.0,122.41,39.810552,9.499045
Ula Tirso,616.0,18.8,40.045951,8.904029
Uras,2682.0,39.24,39.700643,8.70003
Uri,2837.0,56.81,40.639459,8.485412
Urzulei,1114.0,129.64,40.0933379,9.5080494
Usellus,727.0,35.07,39.809646,8.850732
Usini,4222.0,30.74,40.66406,8.540513
Ussana,4001.0,32.82,39.394641,9.073242
Ussaramanna,493.0,9.76,39.692845,8.907634
Ussassai,472.0,47.32,39.810827,9.3947865
Uta,8596.0,134.71,39.2909789,8.9542602
Valledoria,4218.0,25.95,40.928283,8.8245837
Vallermosa,1799.0,61.75,39.364438,8.796337
Viddalba,1611.0,50.41,40.9167765,8.8943626
Villa San Pietro,2155.0,39.89,39.0340479,8.995484
Villa Sant'Antonio,331.0,19.05,39.859148,8.901532
Villa Verde,288.0,17.65,39.795246,8.821131
Villacidro,13216.0,183.48,39.4569925,8.7367219
Villagrande Strisaili,2947.0,210.35,39.9613903,9.5072721
Villamar,2457.0,38.53,39.618044,8.958837
Villamassargia,3411.0,91.39,39.2758994,8.6404754
Villanova Monteleone,2133.0,202.68,40.5036564,8.4708073
Villanova Truschedu,293.0,16.61,39.988649,8.752027
Villanova Tulo,1015.0,40.45,39.7803023,9.2132055
Villanovaforru,611.0,10.93,39.631843,8.869035
Villanovafranca,1194.0,27.59,39.6451828,9.0013979
Villaperuccio,1007.0,36.43,39.111832,8.670038
Villaputzu,4473.0,181.31,39.441045,9.573951
Villasalto,987.0,130.36,39.492145,9.393047
Villasimius,3685.0,57.97,39.14314,9.520854
Villasor,6554.0,86.79,39.380439,8.942839
Villaspeciosa,2519.0,27.19,39.312238,8.92514
Villaurbana,1491.0,58.7,39.885647,8.777429
Zeddiani,1125.0,11.81,39.989947,8.595324
Zerfaliu,1000.0,15.56,39.9588438,8.7085548
